1789496406.311357	configure	pid=96547 argv=/Users/davidliu/Documents/TradingAgents-AShare/.venv310/lib/python3.10/site-packages/pytest/__main__.py -q -p no:randomly -p dav990_probe tests/test_api_smoke.py tests/test_evidence_relations.py tests/test_evidence_summary.py tests/test_evidence_verifier_fairness.py tests/test_expectation_revision_contract.py tests/test_financial_announce_cutoff.py tests/test_financial_as_of.py tests/test_financial_period_compliance.py tests/test_financial_period_kind.py tests/test_frozen_trade_date_isolation.py tests/test_fund_flow_dispute_tie.py tests/test_fund_flow_evidence.py tests/test_fund_flow_lg_credibility.py tests/test_fund_flow_scale_collector.py tests/test_fund_flow_scale_consumption.py tests/test_fund_flow_scale_metrics.py tests/test_fundamentals_analyst.py tests/test_game_theory_integration.py::test_rt7_single_and_dual_horizon_isolation
1789496411.447952	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_build_runtime_identity_uses_safe_public_identity
1789496411.452184	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_build_runtime_identity_uses_safe_public_identity
1789496411.452424	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_build_runtime_identity_keeps_version_separate_when_sha_missing
1789496411.454468	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_build_runtime_identity_keeps_version_separate_when_sha_missing
1789496411.454698	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_accepts_7_to_64_hex[short]
1789496411.458002	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_accepts_7_to_64_hex[short]
1789496411.458751	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_accepts_7_to_64_hex[sha1]
1789496411.460461	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_accepts_7_to_64_hex[sha1]
1789496411.460651	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_accepts_7_to_64_hex[sha256]
1789496411.462723	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_accepts_7_to_64_hex[sha256]
1789496411.462880	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_on_git_failure[git-missing]
1789496411.464257	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_on_git_failure[git-missing]
1789496411.464408	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_on_git_failure[not-a-checkout]
1789496411.466706	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_on_git_failure[not-a-checkout]
1789496411.466861	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_on_git_failure[git-timeout]
1789496411.468227	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_on_git_failure[git-timeout]
1789496411.468377	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_for_invalid_output
1789496411.469816	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_returns_unknown_for_invalid_output
1789496411.469956	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_ignores_ambient_git_dir
1789496411.489677	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_resolve_runtime_commit_sha_ignores_ambient_git_dir
1789496411.489984	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_healthz_exposes_unknown_when_git_metadata_is_missing
1789496411.496017	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_healthz_exposes_unknown_when_git_metadata_is_missing
1789496411.496193	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_runtime_identity_is_cached
1789496411.497243	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_runtime_identity_is_cached
1789496411.497386	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_lifespan_can_restart_on_same_event_loop
1789496411.511541	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_lifespan_can_restart_on_same_event_loop
1789496411.511870	START	tests/test_api_smoke.py::TestRuntimeIdentity::test_lifespan_logs_same_safe_identity_as_healthz
1789496411.550125	FINISH	tests/test_api_smoke.py::TestRuntimeIdentity::test_lifespan_logs_same_safe_identity_as_healthz
1789496411.550413	START	tests/test_api_smoke.py::TestOpenAPISchema::test_analyze_request_has_query_field
1789496411.738165	FINISH	tests/test_api_smoke.py::TestOpenAPISchema::test_analyze_request_has_query_field
1789496411.738399	START	tests/test_api_smoke.py::TestOpenAPISchema::test_analyze_request_symbol_not_required
1789496411.741964	FINISH	tests/test_api_smoke.py::TestOpenAPISchema::test_analyze_request_symbol_not_required
1789496411.742123	START	tests/test_api_smoke.py::TestOpenAPISchema::test_healthz
1789496411.744022	FINISH	tests/test_api_smoke.py::TestOpenAPISchema::test_healthz
1789496411.744170	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_model_change_schedules_warmup
1789496411.760648	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_model_change_schedules_warmup
1789496411.760869	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_non_model_change_skips_warmup
1789496411.773077	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_non_model_change_skips_warmup
1789496411.773302	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_api_key_is_probed_before_save
1789496411.789098	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_api_key_is_probed_before_save
1789496411.789325	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_invalid_api_key_is_rejected_before_save
1789496411.800064	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_invalid_api_key_is_rejected_before_save
1789496411.800288	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_force_warmup_schedules_even_without_model_change
1789496411.812507	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_force_warmup_schedules_even_without_model_change
1789496411.812711	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_manual_warmup_returns_model_reply
1789496411.822490	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_manual_warmup_returns_model_reply
1789496411.822694	START	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_manual_warmup_surfaces_upstream_error
1789496411.831731	FINISH	tests/test_api_smoke.py::TestRuntimeConfigWarmup::test_manual_warmup_surfaces_upstream_error
1789496411.831934	START	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_config_returns_masked_webhook_and_toggle_state
1789496411.845916	FINISH	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_config_returns_masked_webhook_and_toggle_state
1789496411.846126	START	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_wecom_warmup_uses_stored_webhook_when_input_missing
1789496411.859306	FINISH	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_wecom_warmup_uses_stored_webhook_when_input_missing
1789496411.860088	START	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_inline_wecom_warmup_does_not_persist_unsaved_webhook
1789496411.870235	FINISH	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_inline_wecom_warmup_does_not_persist_unsaved_webhook
1789496411.870437	START	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_invalid_wecom_url_is_rejected
1789496411.876694	FINISH	tests/test_api_smoke.py::TestWecomRuntimeConfig::test_invalid_wecom_url_is_rejected
1789496411.876893	START	tests/test_api_smoke.py::TestWatchlistAddEndpoint::test_batch_add_supports_codes_and_full_names
1789496411.891847	FINISH	tests/test_api_smoke.py::TestWatchlistAddEndpoint::test_batch_add_supports_codes_and_full_names
1789496411.892070	START	tests/test_api_smoke.py::TestWatchlistAddEndpoint::test_batch_add_marks_duplicates
1789496411.901680	FINISH	tests/test_api_smoke.py::TestWatchlistAddEndpoint::test_batch_add_marks_duplicates
1789496411.901930	START	tests/test_api_smoke.py::TestReportsEndpoint::test_report_names_recover_after_failed_cache_and_match_between_list_and_detail
1789496415.727420	FINISH	tests/test_api_smoke.py::TestReportsEndpoint::test_report_names_recover_after_failed_cache_and_match_between_list_and_detail
1789496415.727773	START	tests/test_api_smoke.py::TestReportsEndpoint::test_latest_by_symbols_returns_only_each_symbol_latest_report
1789496424.836056	FINISH	tests/test_api_smoke.py::TestReportsEndpoint::test_latest_by_symbols_returns_only_each_symbol_latest_report
1789496424.836530	START	tests/test_api_smoke.py::TestReportsEndpoint::test_batch_delete_endpoint_removes_multiple_reports
1789496440.427587	FINISH	tests/test_api_smoke.py::TestReportsEndpoint::test_batch_delete_endpoint_removes_multiple_reports
1789496440.427930	START	tests/test_api_smoke.py::TestPortfolioOverviewEndpoint::test_overview_returns_watchlist_scheduled_portfolio_and_latest_reports
1789496452.296400	FINISH	tests/test_api_smoke.py::TestPortfolioOverviewEndpoint::test_overview_returns_watchlist_scheduled_portfolio_and_latest_reports
1789496452.296818	START	tests/test_api_smoke.py::TestPortfolioOverviewEndpoint::test_overview_resolves_names_with_cold_stock_map
1789496452.312763	FINISH	tests/test_api_smoke.py::TestPortfolioOverviewEndpoint::test_overview_resolves_names_with_cold_stock_map
1789496452.312973	START	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_batch_update_endpoint_updates_multiple_items
1789496452.331869	FINISH	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_batch_update_endpoint_updates_multiple_items
1789496452.332077	START	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_batch_delete_endpoint_removes_multiple_items
1789496452.350915	FINISH	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_batch_delete_endpoint_removes_multiple_items
1789496452.351112	START	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_manual_trigger_calendar_failure_marks_job_failed
1789496452.367824	FINISH	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_manual_trigger_calendar_failure_marks_job_failed
1789496452.368033	START	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_manual_trigger_endpoint_queues_single_scheduled_task
1789496452.381756	FINISH	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_manual_trigger_endpoint_queues_single_scheduled_task
1789496452.381991	START	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_batch_trigger_endpoint_queues_selected_tasks_with_position_context
1789496452.403594	FINISH	tests/test_api_smoke.py::TestScheduledBatchEndpoints::test_batch_trigger_endpoint_queues_selected_tasks_with_position_context
1789496452.403864	START	tests/test_evidence_relations.py::test_valid_source_repetition_with_identical_canonical_id
1789496452.404587	FINISH	tests/test_evidence_relations.py::test_valid_source_repetition_with_identical_canonical_id
1789496452.404735	START	tests/test_evidence_relations.py::test_valid_derived_observation_explicit_caller_provided
1789496452.405369	FINISH	tests/test_evidence_relations.py::test_valid_derived_observation_explicit_caller_provided
1789496452.405505	START	tests/test_evidence_relations.py::test_valid_supports_relation_explicit_caller_provided
1789496452.406113	FINISH	tests/test_evidence_relations.py::test_valid_supports_relation_explicit_caller_provided
1789496452.406276	START	tests/test_evidence_relations.py::test_valid_refutes_relation_explicit_caller_provided
1789496452.407014	FINISH	tests/test_evidence_relations.py::test_valid_refutes_relation_explicit_caller_provided
1789496452.407152	START	tests/test_evidence_relations.py::test_idempotent_duplicate_edge_insertion
1789496452.407749	FINISH	tests/test_evidence_relations.py::test_idempotent_duplicate_edge_insertion
1789496452.407893	START	tests/test_evidence_relations.py::test_serialization_and_deserialization_roundtrip
1789496452.408854	FINISH	tests/test_evidence_relations.py::test_serialization_and_deserialization_roundtrip
1789496452.408997	START	tests/test_evidence_relations.py::test_reject_self_loop
1789496452.409650	FINISH	tests/test_evidence_relations.py::test_reject_self_loop
1789496452.409779	START	tests/test_evidence_relations.py::test_reject_dangling_reference_missing_target
1789496452.410346	FINISH	tests/test_evidence_relations.py::test_reject_dangling_reference_missing_target
1789496452.410477	START	tests/test_evidence_relations.py::test_reject_contradictory_relations_supports_and_refutes
1789496452.411078	FINISH	tests/test_evidence_relations.py::test_reject_contradictory_relations_supports_and_refutes
1789496452.411210	START	tests/test_evidence_relations.py::test_reject_cyclic_derived_observation
1789496452.411829	FINISH	tests/test_evidence_relations.py::test_reject_cyclic_derived_observation
1789496452.411993	START	tests/test_evidence_relations.py::test_reject_lookahead_violation_future_evidence
1789496452.412664	FINISH	tests/test_evidence_relations.py::test_reject_lookahead_violation_future_evidence
1789496452.412806	START	tests/test_evidence_relations.py::test_reject_unhashed_content_for_canonical_derivation
1789496452.413381	FINISH	tests/test_evidence_relations.py::test_reject_unhashed_content_for_canonical_derivation
1789496452.413508	START	tests/test_evidence_relations.py::test_strictly_forbid_collateral_canonical_event_id
1789496452.414258	FINISH	tests/test_evidence_relations.py::test_strictly_forbid_collateral_canonical_event_id
1789496452.414387	START	tests/test_evidence_relations.py::test_reject_auto_inference_from_similarity_or_verifier_status_or_soft_collateral
1789496452.415008	FINISH	tests/test_evidence_relations.py::test_reject_auto_inference_from_similarity_or_verifier_status_or_soft_collateral
1789496452.415137	START	tests/test_evidence_relations.py::test_reject_empty_or_non_string_endpoint_ids
1789496452.415914	FINISH	tests/test_evidence_relations.py::test_reject_empty_or_non_string_endpoint_ids
1789496452.416051	START	tests/test_evidence_relations.py::test_reject_unknown_relation_type_and_no_silent_upgrade
1789496452.416806	FINISH	tests/test_evidence_relations.py::test_reject_unknown_relation_type_and_no_silent_upgrade
1789496452.416941	START	tests/test_evidence_relations.py::test_metadata_deep_freeze_and_immutability
1789496452.417766	FINISH	tests/test_evidence_relations.py::test_metadata_deep_freeze_and_immutability
1789496452.417901	START	tests/test_evidence_relations.py::test_reject_metadata_nan_and_inf
1789496452.418575	FINISH	tests/test_evidence_relations.py::test_reject_metadata_nan_and_inf
1789496452.418711	START	tests/test_evidence_relations.py::test_canonical_source_repetition_builder_edge_cases
1789496452.419392	FINISH	tests/test_evidence_relations.py::test_canonical_source_repetition_builder_edge_cases
1789496452.419514	START	tests/test_evidence_relations.py::test_malformed_and_missing_and_future_dates_fail_closed
1789496452.420102	FINISH	tests/test_evidence_relations.py::test_malformed_and_missing_and_future_dates_fail_closed
1789496452.420242	START	tests/test_evidence_relations.py::test_duplicate_edge_deterministic_first_seen_metadata
1789496452.420834	FINISH	tests/test_evidence_relations.py::test_duplicate_edge_deterministic_first_seen_metadata
1789496452.420968	START	tests/test_evidence_relations.py::test_relation_is_unhashable_and_cannot_be_in_set
1789496452.421627	FINISH	tests/test_evidence_relations.py::test_relation_is_unhashable_and_cannot_be_in_set
1789496452.421748	START	tests/test_evidence_relations.py::test_frozen_metadata_can_be_reused_to_construct_new_relation
1789496452.422455	FINISH	tests/test_evidence_relations.py::test_frozen_metadata_can_be_reused_to_construct_new_relation
1789496452.422590	START	tests/test_evidence_relations.py::test_json_safety_rejections_survive_thaw_normalization
1789496452.423302	FINISH	tests/test_evidence_relations.py::test_json_safety_rejections_survive_thaw_normalization
1789496452.423425	START	tests/test_evidence_relations.py::test_datetime_baseline_fails_closed_not_raises
1789496452.424011	FINISH	tests/test_evidence_relations.py::test_datetime_baseline_fails_closed_not_raises
1789496452.424147	START	tests/test_evidence_relations.py::test_present_but_empty_timestamp_fails_closed_not_substituted
1789496452.424787	FINISH	tests/test_evidence_relations.py::test_present_but_empty_timestamp_fails_closed_not_substituted
1789496452.424915	START	tests/test_evidence_relations.py::test_timestamp_field_priority_and_semantics_are_explicit
1789496452.425500	FINISH	tests/test_evidence_relations.py::test_timestamp_field_priority_and_semantics_are_explicit
1789496452.425636	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad_input0]
1789496452.426348	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad_input0]
1789496452.426529	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad]
1789496452.427177	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad]
1789496452.427303	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[123]
1789496452.428001	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[123]
1789496452.428143	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[True]
1789496452.428758	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[True]
1789496452.428899	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[False]
1789496452.429522	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[False]
1789496452.429657	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad_input5]
1789496452.430270	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad_input5]
1789496452.430415	START	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad_input6]
1789496452.431123	FINISH	tests/test_evidence_relations.py::test_from_dict_non_mapping_top_level_raises_type_error[bad_input6]
1789496452.431267	START	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[None]
1789496452.431884	FINISH	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[None]
1789496452.432011	START	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping1]
1789496452.432615	FINISH	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping1]
1789496452.432751	START	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping2]
1789496452.433348	FINISH	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping2]
1789496452.433482	START	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping3]
1789496452.434168	FINISH	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping3]
1789496452.434309	START	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping4]
1789496452.434912	FINISH	tests/test_evidence_relations.py::test_from_dict_empty_or_none_mapping_preserves_empty_graph[empty_mapping4]
1789496452.435044	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08junk]
1789496452.435686	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08junk]
1789496452.435813	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08T99:99:99]
1789496452.436436	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08T99:99:99]
1789496452.436575	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-99-99]
1789496452.437294	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-99-99]
1789496452.437426	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08 99:99:99]
1789496452.438047	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08 99:99:99]
1789496452.438189	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08T]
1789496452.438823	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08T]
1789496452.438986	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08-extra]
1789496452.439623	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[2026-09-08-extra]
1789496452.439762	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[invalid]
1789496452.440807	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[invalid]
1789496452.440938	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[]
1789496452.441554	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[]
1789496452.441677	START	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[   ]
1789496452.442300	FINISH	tests/test_evidence_relations.py::test_malformed_timestamp_strings_fail_closed_symmetrically[   ]
1789496452.442439	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08-expected_date0]
1789496452.443114	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08-expected_date0]
1789496452.443252	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56-expected_date1]
1789496452.443999	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56-expected_date1]
1789496452.444127	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56Z-expected_date2]
1789496452.444790	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56Z-expected_date2]
1789496452.444932	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56+00:00-expected_date3]
1789496452.445597	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56+00:00-expected_date3]
1789496452.445720	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56+08:00-expected_date4]
1789496452.446373	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56+08:00-expected_date4]
1789496452.446507	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08 12:34:56-expected_date5]
1789496452.447261	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08 12:34:56-expected_date5]
1789496452.447389	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08 12:34:56.123456-expected_date6]
1789496452.448047	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08 12:34:56.123456-expected_date6]
1789496452.448182	START	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56.123456Z-expected_date7]
1789496452.448851	FINISH	tests/test_evidence_relations.py::test_valid_iso_date_and_datetime_strings_accepted_symmetrically[2026-09-08T12:34:56.123456Z-expected_date7]
1789496452.448995	START	tests/test_evidence_relations.py::test_detect_relation_cycles_empty_target_types_detects_zero_cycles[empty_target_types0]
1789496452.449625	FINISH	tests/test_evidence_relations.py::test_detect_relation_cycles_empty_target_types_detects_zero_cycles[empty_target_types0]
1789496452.449749	START	tests/test_evidence_relations.py::test_detect_relation_cycles_empty_target_types_detects_zero_cycles[empty_target_types1]
1789496452.450443	FINISH	tests/test_evidence_relations.py::test_detect_relation_cycles_empty_target_types_detects_zero_cycles[empty_target_types1]
1789496452.450593	START	tests/test_evidence_relations.py::test_detect_relation_cycles_empty_target_types_detects_zero_cycles[empty_target_types2]
